,Method,Width
1718,FP2FM,0.8557286388930065
1719,FP2FM,0.7379751520408826
1720,FP2FM,0.8339190923065527
1721,FP2FM,0.8149502189555786
1722,FP2FM,0.8670067354616362
1723,FP2FM,0.7485841654521495
1724,FP2FM,0.8383899337935002
1725,FP2FM,0.896091064903821
1726,FP2FM,0.9120572622960862
1727,FP2FM,0.9120572622960863
1728,FP2FM,0.898904421749799
1729,FP2FM,0.899139014206398
1730,FP2FM,0.9449777655689094
1731,FP2FM,0.9117902826936465
1732,FP2FM,0.7943399088683492
1733,FP2FM,0.8987384127602551
1734,FP2FM,0.8179355285224894
1735,FP2FM,0.8816808463034027
1736,FP2FM,0.8672947699652201
1737,FP2FM,0.8258690177380608
1738,FP2FM,0.8948855157413169
1739,FP2FM,0.8499281875091589
1740,FP2FM,0.8935096371091031
1741,FP2FM,0.8505584458728237
1742,FP2FM,0.9070964591822226
1743,FP2FM,0.8118653934938855
1744,FP2FM,0.8587452596065437
1745,FP2FM,0.809687433477357
1746,FP2FM,0.8323940505043464
1747,FP2FM,0.8207238453254561
1748,FP2FM,0.8439773679359326
1749,FP2FM,0.70014822501274
1750,FP2FM,0.906336005778112
1751,FP2FM,0.8971249792251696
1752,FP2FM,0.8915415576959654
1753,FP2FM,0.8384102532260257
1754,FP2FM,0.8271665236974618
1755,FP2FM,0.8480246503275491
1756,FP2FM,0.6740599627491772
1757,FP2FM,0.9286074424119553
1759,FP2FM,0.8979964743612355
1760,FP2FM,0.8042887135874349
1761,FP2FM,0.7777943733136633
1762,FP2FM,0.6432325132349986
1764,FP2FM,0.8740934157637104
1765,FP2FM,0.8993381508079316
1766,FP2FM,0.6659838924067608
1767,FP2FM,0.8785326495196224
1769,FP2FM,0.7243132409331152
1770,FP2FM,0.7297213179981956
1771,FP2FM,0.6523762763782548
1772,FP2FM,0.8503822657308495
1774,FP2FM,0.8367441266944159
1775,FP2FM,0.7842620913368922
1776,FP2FM,0.7620698482425757
1779,FP2FM,0.6986655185990939
1780,FP2FM,0.780926351716808
1781,FP2FM,0.7776967584478345
1782,FP2FM,0.835792961478456
1783,FP2FM,0.8446740325207359
1784,FP2FM,0.9004727767625698
1785,FP2FM,0.8887218120548019
1786,FP2FM,0.9157025810012895
1787,FP2FM,0.8755585848129125
1788,FP2FM,0.8792524920300477
1789,FP2FM,0.8646612821680558
1790,FP2FM,0.819909808362912
1791,FP2FM,0.8758882389711471
1792,FP2FM,0.9012745457415938
1793,FP2FM,0.8780880912283731
1794,FP2FM,0.8669443408991634
1795,FP2FM,0.8858618629617085
1796,FP2FM,0.8496358440947828
1797,FP2FM,0.9005004664001295
1798,FP2FM,0.8534805684897369
1799,FP2FM,0.8539162986409583
1800,FP2FM,0.8769672766788085
1801,FP2FM,0.832628977336716
1802,FP2FM,0.8513095777967978
1803,FP2FM,0.8565771424815515
1804,FP2FM,0.8359199662899242
1805,FP2FM,0.7868119030478687
1806,FP2FM,0.8346605360895843
1807,FP2FM,0.8991684967408486
1808,FP2FM,0.8909515152053207
1809,FP2FM,0.8393860538001273
1810,FP2FM,0.8379379426634472
