,Image type,Model,Threshold,F1,Image
10,Raw,Cellpose-SAM,1.0,0.0,9
0,Raw,microSAM,0.5,0.46153846,9
1,Raw,microSAM,0.55,0.46153846,9
2,Raw,microSAM,0.6,0.46153846,9
3,Raw,microSAM,0.65,0.46153846,9
4,Raw,microSAM,0.7,0.46153846,9
5,Raw,microSAM,0.75,0.30769232,9
6,Raw,microSAM,0.8,0.15384616,9
7,Raw,microSAM,0.85,0.15384616,9
8,Raw,microSAM,0.9,0.0,9
9,Raw,microSAM,0.95,0.0,9
10,Raw,microSAM,1.0,0.0,9
0,Raw,Cellpose3,0.5,0.72727275,9
1,Raw,Cellpose3,0.55,0.72727275,9
2,Raw,Cellpose3,0.6,0.72727275,9
3,Raw,Cellpose3,0.65,0.72727275,9
4,Raw,Cellpose3,0.7,0.72727275,9
5,Raw,Cellpose3,0.75,0.54545456,9
6,Raw,Cellpose3,0.8,0.54545456,9
7,Raw,Cellpose3,0.85,0.54545456,9
8,Raw,Cellpose3,0.9,0.0,9
9,Raw,Cellpose3,0.95,0.0,9
10,Raw,Cellpose3,1.0,0.0,9
0,Raw,Morphometrics,0.5,0.54545456,9
1,Raw,Morphometrics,0.55,0.54545456,9
2,Raw,Morphometrics,0.6,0.36363637,9
3,Raw,Morphometrics,0.65,0.36363637,9
4,Raw,Morphometrics,0.7,0.36363637,9
5,Raw,Morphometrics,0.75,0.36363637,9
6,Raw,Morphometrics,0.8,0.36363637,9
7,Raw,Morphometrics,0.85,0.36363637,9
8,Raw,Morphometrics,0.9,0.36363637,9
9,Raw,Morphometrics,0.95,0.0,9
10,Raw,Morphometrics,1.0,0.0,9
0,Raw,Omnipose,0.5,0.8333333,10
1,Raw,Omnipose,0.55,0.8333333,10
2,Raw,Omnipose,0.6,0.8333333,10
3,Raw,Omnipose,0.65,0.8333333,10
4,Raw,Omnipose,0.7,0.8333333,10
5,Raw,Omnipose,0.75,0.6666667,10
6,Raw,Omnipose,0.8,0.6666667,10
7,Raw,Omnipose,0.85,0.6666667,10
8,Raw,Omnipose,0.9,0.6666667,10
9,Raw,Omnipose,0.95,0.33333334,10
10,Raw,Omnipose,1.0,0.0,10
0,Raw,Cellpose-SAM,0.5,0.8,10
1,Raw,Cellpose-SAM,0.55,0.8,10
2,Raw,Cellpose-SAM,0.6,0.8,10
3,Raw,Cellpose-SAM,0.65,0.8,10
4,Raw,Cellpose-SAM,0.7,0.8,10
5,Raw,Cellpose-SAM,0.75,0.8,10
6,Raw,Cellpose-SAM,0.8,0.8,10
7,Raw,Cellpose-SAM,0.85,0.8,10
