,Method,Width_mu,Width_sigma,Length_mu,Length_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
15,Automatic,0.8293955818096069,0.0007594214893115938,5.611467231914132,0.040276328216895835,12.684987438967422,0.022338646161697326,2.5065155076903434,0.005156006035727653
16,Automatic,0.8740725429611463,0.0008941472324426417,4.770934833822528,0.02940057430835443,10.984375702276429,0.017108197985191424,2.2485163786084685,0.0042227216687523396
17,Automatic,0.8467819753298933,0.0008340278480134686,6.958409465040714,0.06059138183330184,15.453747512858364,0.032996269779703505,3.224528501251455,0.007572952204076998
18,Automatic,0.9354409884105319,0.0011269305531777028,6.253325008164214,0.05213114379872009,15.106128499924191,0.029740005183411647,3.3381734523078475,0.008104498725480176
19,Automatic,0.8590372248464362,0.0009281010581460385,7.445992973505469,0.06673155078244217,17.84093697674162,0.037139381242497306,3.702491233036584,0.008376323682994645
20,Automatic,0.8668070903681215,0.000877831863047727,4.822046361934564,0.02583414404862107,11.54585258457761,0.019527586022694395,2.34766538121899,0.004679887550141626
21,Automatic,0.8884820175057492,0.0010546453368441215,4.58117111936351,0.026168906149736767,11.860341958680019,0.019487648151069983,2.489217152932419,0.005012118926530316
22,Automatic,0.8642149374219948,0.0009073003399331224,5.3961600544895685,0.03697741647560263,12.805267798389677,0.02324116193198327,2.6101044407197604,0.0058290499668582005
23,Automatic,0.7937812719630333,0.0007239841396958008,5.681226480354785,0.04200919345798833,13.220845281357368,0.0243412824045541,2.5229396700936393,0.0051346794270236435
24,Automatic,0.7768383650350973,0.0006803998716483722,4.37672305583665,0.024046127954718433,9.189004508108148,0.01280011319456912,1.681878754360337,0.002780987961247671
25,Automatic,0.8285696776124095,0.0007657198655370233,4.2349797472965784,0.02234323090552341,8.566613813280101,0.011515245330777989,1.7034518302889645,0.002748268080397298
26,Automatic,0.9180677844121246,0.0011275757970610227,4.04882752508674,0.01937813481197449,9.527605509260376,0.01446029504685887,2.007212604444217,0.0038138505287162875
27,Automatic,0.8532246356727367,0.0009181951138477518,3.9218363723234844,0.019257312635159243,8.97165294390151,0.011599146737739508,1.790153239864922,0.0031148121087041327
28,Automatic,0.8539467472941733,0.0008569922734752519,4.501491365446856,0.024694603828185,10.401524834668297,0.017799305224120474,2.114305156877174,0.004074294848085391
29,Automatic,0.8485535884067242,0.0007948469280784395,4.465224217867012,0.023863356375120576,9.926021702690628,0.015089619143396881,1.9700421049151513,0.0037130635096238175
30,Automatic,0.7962555362014768,0.0007524264036036517,4.413647781773981,0.023680107927530617,9.304921248922554,0.013597619118986224,1.7411796748688193,0.0031620040672034055
31,Automatic,0.7827625115748301,0.0006837234094352611,4.948271853241749,0.03113446902013411,9.887278080990098,0.013143167672761543,1.8261829764059314,0.003154243905784351
32,Automatic,0.7305154701367597,0.0007176397720664722,4.320004246664248,0.021235319143989923,8.256563346344526,0.011503642679345573,1.4182613058059497,0.002115389438182714
33,Automatic,0.7932456745687781,0.0007403349748157214,3.523394149994567,0.01526242572301685,7.23812844736153,0.009393792485536434,1.3103385534197312,0.0023795964142648545
34,Automatic,0.743867773663718,0.0007243480076108267,4.040963143348435,0.019088961490844866,7.975023399911559,0.010335646940086598,1.4239248633806079,0.0024771393941994805
35,Automatic,0.7849686667218947,0.0007140240892835488,4.025480381536925,0.01940263217891403,8.21119229859981,0.010387936759876221,1.560476800133838,0.0025108539641638607
36,Automatic,0.7336780278293529,0.0007320187605477372,3.292795049936427,0.013326708390885698,6.243908234471179,0.008081015017769961,1.0928240626371812,0.0022191581382474184
37,Automatic,0.7820258036476069,0.0007024360078140467,3.575884057081629,0.01530325586744061,7.303347134322538,0.010028135688400193,1.3280106313352653,0.002389737646461653
38,Automatic,0.8181470654269615,0.0007652716824372107,3.696335124573001,0.016130546162993573,9.19692468010645,0.013134478166708173,1.7532164251132158,0.0031455824612651724
39,Automatic,0.8066086552938349,0.0007751197785369648,4.6750825537111504,0.027425380211967634,10.10021689657171,0.014448546558926209,1.9136111008111876,0.0033946649477638396
40,Automatic,0.8042160801077658,0.0007213058896991999,3.4853552859826,0.01529795750696373,8.287663502920397,0.011540194017524295,1.5493563011205926,0.0026242834337804064
41,Automatic,0.8079327769722394,0.0007254569359413569,3.78116814877102,0.017148271205367223,7.629183792704115,0.010807111073742402,1.4147589299658396,0.0024334138993828726
42,Automatic,0.7339444970576635,0.0006693148701172553,3.9033887378984415,0.0204466164700921,7.304320207777386,0.0111107092990062,1.2830701067532713,0.0021976410888345245
43,Automatic,0.5976517787480133,0.0012100501550880156,3.06914817182766,0.013088771714424137,4.726574466596609,0.01063591795372992,0.7068831772606285,0.0029932084547742367
44,Automatic,0.9979077287876882,0.0015227028507162359,4.585241958282996,0.026892079753483056,13.644907408127692,0.02863070071021168,3.1721068746314476,0.00747787218621286
45,Automatic,0.9547592191275142,0.0012660534253149253,3.1740677832186233,0.012771543135150585,9.036498105909471,0.012604976697221751,1.9940423945619457,0.003891609413970675
46,Automatic,0.9531388569214546,0.0012713252688461945,3.7711720230272374,0.017600640329426646,10.010212604400465,0.014774789333748579,2.2283832988124344,0.004151141912026281
47,Automatic,0.983175015720623,0.001433574722294776,3.3101415133990084,0.0141373037992902,10.261898829863053,0.016241961337932532,2.276564031591297,0.004265362028224589
48,Automatic,0.9876765478177497,0.001467737434081818,4.899214727598057,0.0313614871178176,12.201868805719187,0.021603099364894858,2.7728357706958424,0.006149271201967535
49,Automatic,0.9795735487721688,0.0014973054029969691,3.590365858961509,0.015204060613651996,10.009139132684735,0.014908342798188846,2.209120820421865,0.0042827383540283235
50,Automatic,0.9592979552690293,0.0013608685948617505,3.908735807059084,0.018760878698627796,10.075343145177849,0.016397786414758017,2.326864390544101,0.0043089455748359035
51,Automatic,1.0486239702165,0.001831960825154959,5.40972673588024,0.03433367742943437,16.916056187507195,0.036620922486778645,4.248983797401116,0.011225730007376544
52,Automatic,0.9337839215796998,0.0011666724415191822,6.567189676516374,0.05615259562568925,16.98645375893479,0.037591068169926516,3.8030824330412574,0.010279073019340052
53,Automatic,1.003508228032903,0.0015245452298425833,4.353165010173494,0.024353385807397068,11.925250138024287,0.02088974739687202,2.7931368129571763,0.0063296361238893714
54,Automatic,0.9843252935826416,0.001514261035670875,4.308733066547952,0.023157545611732507,13.12407520119076,0.02332302705080704,2.993492521776787,0.006599378891326829
55,Automatic,0.942521530683897,0.0012559510561337807,3.194812356377564,0.013372091994778859,9.435754076159032,0.01403981833654906,2.0124391761929172,0.003567375521253942
56,Automatic,0.9935110136732567,0.0015299494558739272,5.298595370026491,0.0354294442680871,15.630331219039435,0.03364078946970901,3.639107473394044,0.009200062730599414
57,Automatic,0.9434839263184597,0.0011164792238907285,3.801014744482424,0.01777992058380962,11.516586102884128,0.01968609501948718,2.509522550438064,0.0051292612097438095
58,Automatic,0.9961289447770973,0.001467035267000018,4.90866003078082,0.03300758086161384,12.510182881720356,0.021165705106133515,2.865902092794441,0.006515841076434638
59,Automatic,0.9809587886903693,0.0014262354816261635,4.673191954268457,0.026420626626732488,11.27945235482243,0.019108304659813932,2.674091507722878,0.005908660442577238
60,Automatic,0.9639130100157133,0.0014043764668639123,3.5303896495520166,0.016434600590558405,9.547532286913123,0.013331421122616463,2.083410561786695,0.004025894504742233
61,Automatic,1.107769096775004,0.0021977207402666668,3.889792890126638,0.01911287835236861,13.571651054560462,0.025597451558662034,3.408448300115576,0.007994300864292456
62,Automatic,0.9527212776655117,0.001303514691179856,2.840635903425052,0.013494956764539245,7.584232682941391,0.009803720669283604,1.6644836084680479,0.002653296735530852
63,Automatic,0.9622641859972644,0.0013074493892399103,4.141031364632596,0.02206236607113992,12.299337921517255,0.021897302336680864,2.7509379272854257,0.006368860376514887
64,Automatic,0.9665343950207925,0.0014089888128556004,2.9080108688079584,0.013353308278097461,7.90260496807034,0.009981888253426772,1.703848340577002,0.002998079730683575
65,Automatic,0.9691128111730152,0.001341172331841058,4.307927337972843,0.022713050419801345,11.668924653855724,0.01909330176251394,2.5995609447374948,0.005283707987865686
66,Automatic,0.9815445062962158,0.0015264222734227098,4.6227574622335394,0.028217691447182718,13.865231352854403,0.02817000873495792,3.210775841196387,0.0071372377487589145
67,Automatic,0.9537834768740814,0.0012984073423382347,7.312133349332479,0.06287505555662044,22.19650861514886,0.0566485681670775,5.155188796396888,0.014225948359284599
68,Automatic,1.0121026092774368,0.0015423530890820813,4.120623605254335,0.021804527978333384,12.134017850740747,0.02000575251844106,2.839131401851512,0.006324597018516537
69,Automatic,1.0264825401707853,0.0016337273363429005,4.311122441553546,0.022831395422862843,11.051294147538702,0.01869121348438425,2.5664429130063366,0.00569075654125485
70,Automatic,0.9893153901258058,0.0015163782311735626,2.749740286760719,0.014743316466859793,8.41585443699326,0.011049577026584018,1.835358816877874,0.003226726217593371
71,Automatic,0.9493147304314498,0.001412144400148077,4.880880666142355,0.032440663126156837,11.304100565993238,0.018445300020823303,2.4935481311027052,0.00525623660204241
