,Method,Length
1511,FP2FM,5.63944211862598
1512,FP2FM,5.48054119363576
1513,FP2FM,8.97816401844413
1514,FP2FM,5.997288145395155
1515,FP2FM,6.881157284638097
1516,FP2FM,9.627970293145976
1517,FP2FM,5.206483114013103
1518,FP2FM,5.05859007212467
1519,FP2FM,10.408461643863312
1520,FP2FM,6.027171822132954
1521,FP2FM,6.581453374700874
1522,FP2FM,7.911295282059351
1523,FP2FM,4.778491102043102
1524,FP2FM,6.456001622446542
1525,FP2FM,5.630081475627182
1526,FP2FM,5.068073467414436
1527,FP2FM,4.736707289380158
1528,FP2FM,5.504752530740213
1529,FP2FM,4.836985260835353
1530,FP2FM,6.529758229973043
1531,FP2FM,6.786867149018451
1532,FP2FM,5.778394764404248
1533,FP2FM,5.73617056995723
1534,FP2FM,5.003778510533339
1535,FP2FM,6.26481301844013
1536,FP2FM,6.300789000821778
1537,FP2FM,7.151604325318735
1538,FP2FM,4.7426109260174085
1539,FP2FM,6.654648219962377
1540,FP2FM,7.1876436877585235
1541,FP2FM,5.03798444544464
1542,FP2FM,7.751725411333284
1543,FP2FM,6.665611905740212
1544,FP2FM,6.3718592330250825
1545,FP2FM,7.047885905736216
1546,FP2FM,4.893780203836487
1547,FP2FM,5.68589231793594
1548,FP2FM,6.516607742783059
1549,FP2FM,5.528781223566477
1550,FP2FM,5.622186503594587
1551,FP2FM,6.4816276364295495
1552,FP2FM,6.8928492021600904
1553,FP2FM,5.886541238631372
1554,FP2FM,6.639684740169251
1555,FP2FM,7.731285964743019
1556,FP2FM,5.231524988525954
1557,FP2FM,5.943234260454731
1558,FP2FM,6.615843930264822
1559,FP2FM,5.097592713378554
1560,FP2FM,7.233411424484968
1561,FP2FM,6.980350990720742
1562,FP2FM,5.399311556461632
1563,FP2FM,6.711358254298404
1564,FP2FM,7.337410147416447
1565,FP2FM,6.004980198367709
1566,FP2FM,5.618874850210034
1567,FP2FM,1.8580093899509325
1568,FP2FM,7.105659281562512
1569,FP2FM,7.461163083716935
1570,FP2FM,6.270345538193443
1571,FP2FM,5.8029164003218625
1572,FP2FM,6.225170299597316
1573,FP2FM,5.55690794293594
1574,FP2FM,5.740591060658646
1575,FP2FM,1.6168880061480433
1576,FP2FM,3.1579576542807657
1577,FP2FM,4.367921848566477
1578,FP2FM,6.416809793036298
1579,FP2FM,6.31532859219374
1580,FP2FM,5.842014120086712
1581,FP2FM,5.500357095014006
1582,FP2FM,5.443108017090183
1583,FP2FM,5.981200792146959
1584,FP2FM,6.65250008134882
1585,FP2FM,4.629386872603678
1586,FP2FM,4.8063077719250415
1587,FP2FM,3.4256797579446414
1588,FP2FM,4.993137288913719
1589,FP2FM,3.6910591397008847
1590,FP2FM,4.628488571280512
1591,FP2FM,8.19036996899443
1592,FP2FM,4.581593809694875
1593,FP2FM,4.098955010116365
1594,FP2FM,8.770084022602562
1595,FP2FM,4.402858441393889
1596,FP2FM,5.7958552071788825
1597,FP2FM,4.356257269771551
1598,FP2FM,5.667095063809188
1599,FP2FM,8.730148278898858
1600,FP2FM,5.4906150654216574
1601,FP2FM,4.0742723544328925
1602,FP2FM,8.80396993164157
1603,FP2FM,5.982936436945031
1604,FP2FM,8.060574165860574
1605,FP2FM,4.380472867002321
1606,FP2FM,7.78221084057708
1607,FP2FM,1.245083907564996
1608,FP2FM,7.295767978520595
1609,FP2FM,3.7727929334829264
1610,FP2FM,2.430542575998486
1611,FP2FM,6.8495890043072105
1612,FP2FM,4.1127136845892345
1613,FP2FM,8.540634252294106
1615,FP2FM,3.2226745535468333
1616,FP2FM,4.9044044643768725
1617,FP2FM,4.3601804294249895
1618,FP2FM,5.076386639427053
