Method,area_convex
FM2FM,4.604281169
FM2FM,4.778969344
FM2FM,5.095071754
FM2FM,3.793228931
FM2FM,4.525255566
FM2FM,3.668451663
FM2FM,4.812243282
FM2FM,4.51277784
FM2FM,4.770650859
FM2FM,4.400478299
FM2FM,7.099826518
FM2FM,3.689247874
FM2FM,2.100417336
FM2FM,3.077839264
FM2FM,2.283423994
FM2FM,3.460489551
FM2FM,4.342248907
FM2FM,3.685088632
FM2FM,6.097449136
FM2FM,5.332148563
FM2FM,7.386814233
FM2FM,5.627454762
FM2FM,5.648250974
FM2FM,1.950684615
FM2FM,2.058824913
FM2FM,4.350567392
FM2FM,5.036842363
FM2FM,4.662510561
FM2FM,5.673206427
FM2FM,4.030305739
FM2FM,5.847894601
FM2FM,5.099230997
FM2FM,4.017828012
FM2FM,3.926324683
FM2FM,5.431970377
FM2FM,4.121809068
FM2FM,4.462866933
FM2FM,5.211530537
FM2FM,5.577543855
FM2FM,7.286992419
FM2FM,5.407014923
FM2FM,3.227571985
FM2FM,3.256686681
FM2FM,2.666074281
FM2FM,7.054074854
FM2FM,2.790851549
FM2FM,4.34640815
FM2FM,5.394537196
FM2FM,5.224008264
FM2FM,5.224008264
FM2FM,5.294715382
FM2FM,5.128345692
FM2FM,4.878791158
FM2FM,5.011886909
FM2FM,4.645873592
FM2FM,5.061797816
FM2FM,2.503863834
FM2FM,5.577543855
FM2FM,4.296497243
FM2FM,3.972076347
FM2FM,5.340467047
FM2FM,3.460489551
FM2FM,2.790851549
FM2FM,5.107549481
FM2FM,5.169938115
FM2FM,3.593585303
FM2FM,2.366608839
FM2FM,4.554370262
FM2FM,4.109331342
FM2FM,0.881759357
FM2FM,3.314916072
FM2FM,3.252527438
FM2FM,3.240049712
FM2FM,4.292338
FM2FM,3.510400458
FM2FM,5.269759929
FM2FM,4.84551722
FM2FM,4.84551722
FM2FM,3.660133179
FM2FM,3.697566359
FM2FM,3.651814694
FM2FM,7.507432259
FM2FM,7.253718481
FM2FM,5.107549481
FM2FM,5.386218712
FM2FM,5.003568425
FM2FM,6.209748677
FM2FM,5.839576117
FM2FM,3.131909413
FM2FM,5.352944774
FM2FM,4.95781676
FM2FM,4.259064063
FM2FM,4.026146497
FM2FM,1.992277037
FM2FM,1.767677956
FM2FM,5.506836737
FM2FM,1.755200229
FM2FM,5.685684154
FM2FM,5.265600687
FM2FM,4.417115268
FM2FM,6.384436852
FM2FM,3.726681055
FM2FM,4.937020549
FM2FM,4.101012857
FM2FM,4.891268884
FM2FM,7.415928929
FM2FM,8.297688286
FM2FM,4.450389206
FM2FM,4.92038358
FM2FM,5.144982661
FM2FM,6.32620746
FM2FM,4.575166473
FM2FM,1.809270378
FM2FM,2.395723535
FM2FM,5.556747644
FM2FM,2.345812628
FM2FM,2.878195636
FM2FM,4.62507738
FM2FM,10.89305545
FM2FM,8.401669342
FM2FM,0.852644661
FM2FM,4.084375888
FM2FM,7.69459816
FM2FM,4.14260528
FM2FM,3.963757863
FM2FM,6.792042592
FM2FM,3.984554074
FM2FM,8.368395404
FM2FM,3.984554074
FM2FM,4.978612971
FM2FM,4.067738919
FM2FM,6.717176231
FM2FM,5.86453157
FM2FM,11.22163559
FM2FM,3.389782433
FM2FM,0.366013318
FM2FM,3.398100917
FM2FM,8.330962224
FM2FM,11.87879586
FM2FM,6.413551547
FM2FM,5.21568978
FM2FM,3.826502869
FM2FM,6.40107382
FM2FM,4.778969344
FM2FM,3.693407117
FM2FM,6.413551547
FM2FM,4.442070721
FM2FM,3.764114235
FM2FM,3.527037427
FM2FM,2.88651412
FM2FM,5.868690813
FM2FM,3.452171066
FM2FM,3.868095291
FM2FM,4.213312398
FM2FM,3.955439378
FM2FM,6.837794257
FM2FM,3.901369229
FM2FM,3.094476233
FM2FM,3.161024109
FM2FM,4.583484958
FM2FM,4.658351318
FM2FM,6.542488057
FM2FM,5.997627322
FM2FM,3.951280136
FM2FM,3.930483925
FM2FM,4.812243282
FM2FM,6.15983777
FM2FM,6.742131685
FM2FM,5.594180824
FM2FM,6.376118367
FM2FM,5.315511594
FM2FM,3.992872559
FM2FM,5.190734326
FM2FM,3.581107576
FM2FM,3.55199288
FM2FM,5.535951433
FM2FM,4.155083006
FM2FM,4.633395865
FM2FM,4.704102983
FM2FM,2.795010791
FM2FM,5.278078413
FM2FM,3.556152122
FM2FM,4.8829504
FM2FM,4.246586336
FM2FM,4.966135245
FM2FM,5.723117334
FM2FM,5.028523878
FM2FM,2.898991847
FM2FM,4.446229964
FM2FM,2.81164776
FM2FM,5.847894601
FM2FM,4.787287828
FM2FM,3.368986221
FM2FM,0.336898622
FM2FM,7.598935588
FM2FM,3.626859241
FM2FM,6.650628355
FM2FM,5.99346808
FM2FM,7.73203134
FM2FM,5.881168539
FM2FM,8.963167046
FM2FM,6.047538229
FM2FM,0.195484386
FM2FM,4.45870769
FM2FM,3.88473226
FM2FM,4.38384133
FM2FM,4.242427094
FM2FM,4.774810101
FM2FM,2.953061996
FM2FM,5.282237656
FM2FM,6.163997012
FM2FM,11.49198633
FM2FM,10.87225924
FM2FM,5.594180824
FM2FM,5.473562799
FM2FM,5.248963718
FM2FM,5.760550514
FM2FM,5.415333408
FM2FM,5.810461421
FM2FM,5.573384613
FM2FM,1.426620091
FM2FM,5.386218712
FM2FM,3.610222272
FM2FM,3.92216544
FM2FM,4.313134212
FM2FM,5.423651892
FM2FM,3.140227898
FM2FM,3.489604247
FM2FM,5.074275543
FM2FM,1.505645694
FM2FM,3.797388173
FM2FM,4.803924797
FM2FM,4.150923764
FM2FM,5.120027208
FM2FM,5.415333408
FM2FM,5.190734326
FM2FM,4.125968311
FM2FM,6.155678528
FM2FM,6.417710789
FM2FM,4.308974969
FM2FM,7.536546954
FM2FM,6.392755336
FM2FM,5.802142937
FM2FM,5.390377954
FM2FM,5.935238689
FM2FM,5.748072787
FM2FM,3.606063029
FM2FM,4.259064063
FM2FM,5.007727667
FM2FM,7.885923303
FM2FM,6.330366702
FM2FM,5.041001605
FM2FM,3.909687714
FM2FM,3.269164407
FM2FM,6.480099423
FM2FM,8.451580249
FM2FM,9.046351891
FM2FM,9.786697011
FM2FM,5.286396898
FM2FM,6.40107382
FM2FM,4.225790125
FM2FM,1.86749977
FM2FM,4.620918138
FM2FM,5.174097357
FM2FM,4.612599654
FM2FM,6.101608379
FM2FM,4.18003846
FM2FM,6.409392305
FM2FM,6.2513411
FM2FM,6.143200801
FM2FM,8.127159354
FM2FM,5.86453157
FM2FM,5.344626289
FM2FM,3.531196669
SoftWorx,2.953061996
SoftWorx,3.481285762
SoftWorx,2.836603214
SoftWorx,3.368986221
SoftWorx,3.302438345
SoftWorx,3.618540756
SoftWorx,6.667265324
SoftWorx,4.51277784
SoftWorx,3.697566359
SoftWorx,7.183011363
SoftWorx,5.764709756
SoftWorx,2.632800343
SoftWorx,3.647655452
SoftWorx,3.493763489
SoftWorx,3.522878185
SoftWorx,4.358885876
SoftWorx,3.597744545
SoftWorx,3.414737886
SoftWorx,0.856803903
SoftWorx,3.414737886
SoftWorx,3.988713316
SoftWorx,3.826502869
SoftWorx,4.234108609
SoftWorx,3.834821353
SoftWorx,5.639932489
SoftWorx,4.487822386
SoftWorx,4.471185417
SoftWorx,8.085566931
SoftWorx,3.926324683
SoftWorx,4.300656485
SoftWorx,4.184197702
