,Dye,Threshold,F1,Image
10,MitoTrackerGreen,1.0,0.0,14
0,QoxB_sfGFP,0.5,0.987013,14
1,QoxB_sfGFP,0.55,0.97402596,14
2,QoxB_sfGFP,0.6,0.97402596,14
3,QoxB_sfGFP,0.65,0.96103895,14
4,QoxB_sfGFP,0.7,0.9480519,14
5,QoxB_sfGFP,0.75,0.9480519,14
6,QoxB_sfGFP,0.8,0.9480519,14
7,QoxB_sfGFP,0.85,0.8961039,14
8,QoxB_sfGFP,0.9,0.8181818,14
9,QoxB_sfGFP,0.95,0.5584416,14
10,QoxB_sfGFP,1.0,0.0,14
