Method,solidity
FM2FM,0.803627267
FM2FM,0.850104094
FM2FM,0.654653039
FM2FM,0.914427157
FM2FM,0.775790922
FM2FM,0.808510638
FM2FM,0.918843284
FM2FM,0.930406852
FM2FM,0.925996205
FM2FM,0.921568627
FM2FM,0.925087108
FM2FM,0.888732394
FM2FM,0.813385827
FM2FM,0.917678812
FM2FM,0.701411509
FM2FM,0.796097934
FM2FM,0.934572491
FM2FM,0.803951368
FM2FM,0.904912837
FM2FM,0.936462094
FM2FM,0.920890937
FM2FM,0.906227631
FM2FM,0.844776119
FM2FM,0.950437318
FM2FM,0.8996139
FM2FM,0.917050691
FM2FM,0.928950159
FM2FM,0.933461909
FM2FM,0.794478528
FM2FM,0.917880795
FM2FM,0.947556615
FM2FM,0.913114754
FM2FM,0.925414365
FM2FM,0.951807229
FM2FM,0.869264069
FM2FM,0.936873747
FM2FM,0.931762794
FM2FM,0.915514593
FM2FM,0.824519231
FM2FM,0.944556452
FM2FM,0.730405405
FM2FM,0.77705768
FM2FM,0.823359073
FM2FM,0.66004415
FM2FM,0.815875081
FM2FM,0.793548387
FM2FM,0.803240741
FM2FM,0.812894184
FM2FM,0.795947902
FM2FM,0.919261822
FM2FM,0.91015625
FM2FM,0.857973422
FM2FM,0.904535865
FM2FM,0.738501971
FM2FM,0.816006601
FM2FM,0.937234043
FM2FM,0.951653944
FM2FM,0.914634146
FM2FM,0.800688976
FM2FM,0.725517241
FM2FM,0.785805355
FM2FM,0.896144768
FM2FM,0.840155945
FM2FM,0.859251969
FM2FM,0.933184855
FM2FM,0.894689469
FM2FM,0.797427653
FM2FM,0.870153291
FM2FM,0.87661895
FM2FM,0.937313433
FM2FM,0.879948086
FM2FM,0.932801065
FM2FM,0.805687204
FM2FM,0.685261003
FM2FM,0.814184397
FM2FM,0.789105058
FM2FM,0.895170789
SoftWorx,0.933802817
SoftWorx,0.922341697
SoftWorx,0.920821114
SoftWorx,0.908641975
SoftWorx,0.91813602
SoftWorx,0.909195402
SoftWorx,0.878976918
SoftWorx,0.899539171
SoftWorx,0.923509561
SoftWorx,0.914881297
SoftWorx,0.840548341
SoftWorx,0.924170616
