Method,Width
FM2FM,0.869761352
FM2FM,0.691933145
FM2FM,0.865986194
FM2FM,0.841914108
FM2FM,0.671092029
FM2FM,0.83719141
FM2FM,0.889299778
FM2FM,0.822621973
FM2FM,0.932775508
FM2FM,0.814707434
FM2FM,0.907423362
FM2FM,0.833379943
FM2FM,0.891379627
FM2FM,0.87300446
FM2FM,0.784844333
FM2FM,0.890702758
FM2FM,0.887958183
FM2FM,0.877766833
FM2FM,0.888886628
FM2FM,0.890088648
FM2FM,0.895993961
FM2FM,0.857743884
FM2FM,0.937654536
FM2FM,0.856371307
FM2FM,0.948312271
FM2FM,0.90439891
FM2FM,0.872500565
FM2FM,0.924234886
FM2FM,0.913386626
FM2FM,0.897496346
FM2FM,0.884762662
FM2FM,0.89619962
FM2FM,0.888092529
FM2FM,0.899031683
FM2FM,0.92997113
FM2FM,0.881523082
FM2FM,0.839295952
FM2FM,0.901230833
FM2FM,0.87910294
FM2FM,0.9104283
FM2FM,0.803681662
FM2FM,0.830983015
FM2FM,0.88156433
FM2FM,0.893732157
FM2FM,0.915232067
FM2FM,0.873549397
FM2FM,0.869600164
FM2FM,0.835663349
FM2FM,0.791881343
SoftWorx,0.694616064
SoftWorx,0.686494412
SoftWorx,0.701220479
SoftWorx,0.722855368
SoftWorx,0.786283605
SoftWorx,0.776940695
SoftWorx,0.799065872
SoftWorx,0.832022624
SoftWorx,0.823604806
SoftWorx,0.820141305
SoftWorx,0.716450264
SoftWorx,0.74956265
SoftWorx,0.795849048
SoftWorx,0.805789054
SoftWorx,0.812021929
SoftWorx,0.833459253
SoftWorx,0.789820389
SoftWorx,0.77184622
SoftWorx,0.772034729
SoftWorx,0.740451757
SoftWorx,0.793656258
SoftWorx,0.846409879
SoftWorx,0.9054745
SoftWorx,0.870287755
SoftWorx,0.900511721
SoftWorx,0.869608153
SoftWorx,0.854092683
SoftWorx,0.894634719
SoftWorx,0.931837079
SoftWorx,0.943074389
SoftWorx,0.970222036
SoftWorx,0.898072352
SoftWorx,0.600362479
SoftWorx,0.87084074
SoftWorx,0.804670659
SoftWorx,0.799054668
SoftWorx,0.838312445
SoftWorx,0.865926791
SoftWorx,0.876007589
SoftWorx,0.846710089
SoftWorx,0.612277247
SoftWorx,0.64401297
SoftWorx,0.640829019
SoftWorx,0.685230578
SoftWorx,0.689873291
SoftWorx,0.620444483
SoftWorx,0.631523779
SoftWorx,0.725660942
SoftWorx,0.637419631
SoftWorx,0.684624824
SoftWorx,0.618653381
SoftWorx,0.735267224
SoftWorx,0.688539695
SoftWorx,0.66887248
SoftWorx,0.751906135
SoftWorx,0.77801989
SoftWorx,0.782207631
SoftWorx,0.757597672
SoftWorx,0.768774323
SoftWorx,0.811063339
SoftWorx,0.688177053
SoftWorx,0.837413361
SoftWorx,0.829973721
SoftWorx,0.827026603
SoftWorx,0.853343082
SoftWorx,0.812655103
SoftWorx,0.771344107
SoftWorx,0.82540272
SoftWorx,0.716433327
SoftWorx,0.844877863
SoftWorx,0.864322677
SoftWorx,0.785412909
SoftWorx,0.882529791
SoftWorx,0.858387646
