,Bacillus subtilis subspecies subtilis PY79,Priestia megaterium 1060,Priestia megaterium 899,Priestia megaterium DSM 319,Priestia megaterium KM,Priestia megaterium QM B1551,Priestia megaterium WH320,Time
204,-0.7964477473139362,-0.7227528737746062,-0.8412382377715871,0.18358322414308778,-0.5491150748900525,0.21106174105111514,0.2910658321352752,17.0
205,-0.8060031133589155,-0.7376560177516417,-0.8424638668808354,0.1843158400953416,-0.5489027314863152,0.2115153673386872,0.2911142229341126,17.083333333333332
206,-0.8155847958153103,-0.7526062279555565,-0.8437020331871631,0.1850500061138105,-0.548714484607988,0.21196354530016157,0.2911328280659592,17.166666666666668
207,-0.8251920465927236,-0.767599832079894,-0.8449523542939722,0.18578529452002826,-0.548549450655665,0.21240598712994535,0.29112353068160335,17.25
208,-0.8348241176007588,-0.7826331578181991,-0.8462144478046655,0.1865212776355288,-0.5484067460299398,0.2128424050224459,0.29108821393183393,17.333333333333332
209,-0.8444802607490202,-0.7977025328640168,-0.847487931322645,0.18725752778184593,-0.5482854871314062,0.21327251117207038,0.2910287609674393,17.416666666666668
210,-0.8541597279471107,-0.812804284910891,-0.8487724224513131,0.18799361728051342,-0.548184790360658,0.21369601777322597,0.290947054939208,17.5
211,-0.8638617711046337,-0.8279347416523658,-0.8500675387940724,0.18872911845306514,-0.5481037721182892,0.21411263702032,0.2908449789979288,17.583333333333332
212,-0.8735856421311937,-0.8430902307819872,-0.8513728979543248,0.18946360362103493,-0.5480415488048932,0.2145220811077596,0.29072441629439016,17.666666666666668
213,-0.8833305929363932,-0.8582670799932979,-0.852688117535473,0.1901966451059566,-0.547997236821064,0.214924062229952,0.2905872499793806,17.75
214,-0.8930958754298363,-0.8734616169798434,-0.8540128151409192,0.19092781522936395,-0.5479699525673953,0.21531829258130444,0.2904353632036888,17.833333333333332
215,-0.9028807415211265,-0.8886701694351684,-0.8553466083740661,0.19165668631279092,-0.5479588124444812,0.2157044843562242,0.2902706391181033,17.916666666666668
216,-0.912681949149444,-0.9038862953368516,-0.8566891148383153,0.19238283067777118,-0.547962932852915,0.21608234974911833,0.29009496087341247,18.0
217,-0.9224862803722781,-0.9190924737986141,-0.8580399521370697,0.19310582064583864,-0.5479814301932909,0.21645160095439422,0.28991021162040526,18.083333333333332
218,-0.9322780232766946,-0.9342684142182123,-0.8593987378737314,0.19382522853852713,-0.5480134208662023,0.21681195016645896,0.28971827450986987,18.166666666666668
219,-0.9420414659497582,-0.9493938259933997,-0.8607650896517032,0.1945406266773705,-0.5480580212722433,0.21716310957971988,0.2895210326925951,18.25
220,-0.9517608964785358,-0.9644484185219336,-0.8621386250743865,0.1952515873839025,-0.5481143478120076,0.2175047913885841,0.2893203693193694,18.333333333333332
221,-0.9614206029500929,-0.9794119012015697,-0.8635189617451847,0.19595768297965704,-0.548181516886089,0.21783670778745895,0.28911816754098146,18.416666666666668
222,-0.971004873451495,-0.9942639834300627,-0.8649057172674994,0.19665848578616787,-0.548258644895081,0.21815857097075156,0.28891631050821975,18.5
223,-0.980497996069808,-1.008984374605169,-0.8662985092447334,0.19735356812496888,-0.5483448482395779,0.21847009313286914,0.28871668137187284,18.583333333333332
224,-0.989884258892098,-1.0235527841246443,-0.8676969552802888,0.1980425023175939,-0.5484392433201731,0.21877098646821905,0.2885211632827294,18.666666666666668
225,-0.99914795000543,-1.037948921386243,-0.8691006729775679,0.19872486068557674,-0.5485409465374605,0.21906096317120832,0.28833163939157785,18.75
226,-1.0082733574968699,-1.0521524957877217,-0.8705092799399732,0.19940021555045118,-0.5486490742920339,0.21933973543624433,0.28814999284920695,18.833333333333332
227,-1.0172447694534847,-1.0661432167268368,-0.8719223937709071,0.20006813923375114,-0.5487627429844872,0.2196070154577342,0.28797810680640507,18.916666666666668
228,-1.0260464739623383,-1.079900793601342,-0.8733396320737716,0.20072820405701042,-0.548881069015414,0.21986251543008514,0.2878178644139609,19.0
229,-1.0346627591104975,-1.0934049358089943,-0.8747606124519692,0.20137998234176274,-0.549003168785408,0.22010594754770443,0.2876711488226629,19.083333333333332
230,-1.0430779129850285,-1.1066353527475494,-0.8761849525089025,0.20202304640954208,-0.5491281586950633,0.22033702400499927,0.28753984318329984,19.166666666666668
231,-1.0512762236729958,-1.1195717538147623,-0.8776122698479736,0.2026569685818822,-0.5492551551449735,0.22055545699637688,0.2874258306466601,19.25
232,-1.0592419792614662,-1.1321938484083889,-0.8790421820725849,0.20328132118031694,-0.5493832745357323,0.22076095871624452,0.28733099436353243,19.333333333333332
233,-1.0669594678375054,-1.1444813459261853,-0.8804743067861386,0.20389567652638008,-0.5495116332679336,0.22095324135900932,0.28725721748470523,19.416666666666668
234,-1.074412977488178,-1.1564139557659057,-0.8819082615920373,0.20449960694160552,-0.5496393477421713,0.22113201711907854,0.28720638316096714,19.5
235,-1.0815867963005512,-1.167971387325307,-0.8833436640936831,0.20509268474752704,-0.549765534359039,0.2212969981908594,0.2871803745431067,19.583333333333332
236,-1.08846521236169,-1.1791333500021448,-0.8847801318944785,0.2056744822656785,-0.5498893095191305,0.2214478967687592,0.2871810747819125,19.666666666666668
237,-1.095032513758661,-1.1898795531941744,-0.8862172825978258,0.20624457181759373,-0.5500097896230397,0.22158442504718504,0.2872103670281731,19.75
238,-1.1012729885785282,-1.2001897062991511,-0.8876547338071272,0.20680252572480648,-0.5501260910713602,0.22170629522054414,0.2872701344326771,19.833333333333332
239,-1.1071709249083594,-1.2100435187148313,-0.8890921031257853,0.2073479163088507,-0.550237330264686,0.2218132194832438,0.2873622601462131,19.916666666666668
240,-1.112710610835219,-1.2194206998389698,-0.8905290081572026,0.20788031589126013,-0.5503426236036109,0.22190491002969126,0.2874886273195696,20.0
241,-1.117876334446173,-1.2283009590693232,-0.8919650665047807,0.20839929679356858,-0.5504410874887283,0.2219810790542936,0.28765111910353514,20.083333333333332
242,-1.1226523838282876,-1.2366640058036464,-0.8933998957719227,0.20890443133731001,-0.5505318383206325,0.22204143875145815,0.28785161864889836,20.166666666666668
243,-1.1270230470686282,-1.244489549439695,-0.8948331135620305,0.20939529184401812,-0.5506139924999169,0.2220857013155921,0.28809200910644783,20.25
244,-1.1309726122542607,-1.2517572993752248,-0.8962643374785064,0.20987145063522675,-0.5506866664271755,0.2221135789411027,0.28837417362697215,20.333333333333332
245,-1.134485367472251,-1.258446965007992,-0.8976931851247534,0.2103324800324698,-0.550748976503002,0.22212478382239714,0.2886999953612598,20.416666666666668
246,-1.1375456008096645,-1.2645382557357512,-0.899119274104173,0.21077795235728103,-0.5508000391279902,0.22211902815388265,0.28907135746009943,20.5
247,-1.1401376003535675,-1.270010880956259,-0.9005422220201681,0.2112074399311943,-0.550838970702734,0.22209602412996643,0.28949014307427956,20.583333333333332
248,-1.1422456541910249,-1.27484455006727,-0.9019616464761407,0.21162051507574345,-0.5508648876278269,0.2220554839450557,0.28995823535458876,20.666666666666668
249,-1.143854050409103,-1.2790189724665406,-0.9033771650754934,0.21201675011246227,-0.550876906303863,0.22199711979355768,0.2904775174518156,20.75
250,-1.144947077094868,-1.2825138575518265,-0.9047883954216283,0.21239571736288457,-0.5508741431314358,0.2219206438698796,0.29104987251674863,20.833333333333332
251,-1.145509022335385,-1.2853089147208832,-0.906194955117948,0.21275698914854424,-0.5508557145111393,0.22182576836842874,0.29167718370017653,20.916666666666668
